"County","Sector","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","Total Usage"
"MADERA","Residential","       8.695751","       8.251890","       7.805462","       7.920379","       7.560517","       7.677906","       7.253610","       8.825323","       8.579230","       9.155796","       8.714132","       8.704267","       8.574913","       8.728519","       8.649911","       8.533044","       8.870044","       8.745262","       8.921057","       8.419605","       7.763942","       8.728097","       8.268429","       7.275744","       7.195226","       6.912332","       7.712684","       7.245020","       6.932971","       7.352249","       7.230603","     251.203915"
"MARIN","Residential","      50.379266","      51.209731","      49.276478","      51.057186","      47.539594","      45.170690","      44.245650","      55.719522","      55.392438","      59.600901","      57.224298","      57.144213","      57.589370","      55.716098","      55.214326","      54.468338","      56.619486","      55.822972","      56.945112","      53.744232","      64.524846","      71.807945","      66.947643","      57.222467","      60.556330","      61.349480","      65.106608","      63.473949","      57.597041","      64.141503","      63.172478","    1765.980191"
"MARIPOSA","Residential","       0.000123","","       0.000963","       0.001117","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MENDOCINO","Residential","       5.481725","       5.683291","       5.637471","       5.879542","       5.320475","       5.010364","       5.200342","       6.225415","       6.217438","       6.508691","       6.420096","       6.319576","       6.555548","       6.254440","       6.198114","       6.114372","       6.355851","       6.266438","       6.392404","       6.033088","       6.902925","       7.628986","       7.239367","       6.343219","       6.258635","       5.879045","       6.686487","       6.641784","       5.836307","       6.163640","       5.845926","     191.501002"
"MERCED","Residential","      26.869034","      25.936150","      24.729991","      25.202028","      23.562844","      23.848163","      22.947584","      27.532782","      26.852774","      28.864362","      27.108223","      26.862567","      27.051900","      27.301437","      27.055564","      26.690023","      27.744106","      27.353807","      27.903667","      26.335204","      25.377907","      28.527948","      26.555204","      23.026363","      22.780865","      22.489312","      25.872829","      17.508277","      23.593192","      24.808516","      24.421171","     792.713794"
"MONTEREY","Residential","      52.333942","      51.568504","      49.762345","      50.524358","      48.645620","      46.817858","      46.704689","      57.653646","      56.961908","      57.819404","      57.936663","      57.764077","      59.124174","      56.915525","      56.402951","      55.640904","      57.838361","      57.024700","      58.170997","      54.901210","      62.972803","      70.898891","      64.490295","      57.546241","      57.137375","      56.459824","      65.524605","      63.094479","      61.148495","      69.780284","      64.079396","    1783.644524"
"NAPA","Residential","      20.258155","      20.727334","      20.619081","      20.743254","      19.349032","      18.422281","      18.567591","      22.608373","      22.135337","      23.656281","      22.721373","      22.719900","      21.936376","      22.313092","      22.112143","      21.813391","      22.674879","      22.355893","      22.805286","      21.523403","      23.596674","      26.122404","      24.998865","      21.365840","      21.280785","      21.347686","      24.755759","      25.088685","      23.309997","      23.795343","      22.997728","     688.722221"
"NEVADA","Residential","      13.979074","      14.932247","      13.105233","      14.252984","      12.894977","      11.674049","      11.311242","      13.163587","      12.550058","      14.141069","      13.247245","      12.758414","      13.071993","      12.442316","       5.984929","       5.904068","       6.137240","       6.050903","       6.172536","       5.825579","       6.191007","       6.332815","       6.489629","       5.136862","       4.863043","       4.738908","       5.174772","       4.974190","       4.172576","       4.306807","       3.826668","     275.807020"
"ORANGE","Residential","     387.083078","     382.135884","     339.030950","     343.528866","     337.827012","     316.917643","     319.182227","     397.971459","     381.525327","     407.680573","     404.664818","     386.279255","     396.043776","     401.224534","     397.224804","     387.081232","     416.014542","     392.302678","     417.174665","     422.554634","     426.274734","     478.499821","     450.326469","     396.614652","     403.726927","     397.460559","     430.513427","     414.373342","     423.464433","     433.331634","     431.893804","   12319.927759"
"PLACER","Residential","      65.711267","      66.234982","      62.184773","      63.464633","      57.074186","      53.365536","      50.980638","      62.014349","      59.852205","      65.145637","      61.627361","      60.330452","      59.431686","      62.202351","      67.386400","      66.585826","      69.232328","      66.084381","      66.386803","      61.991019","      56.901849","      39.740212","      36.556419","      29.791270","      28.562757","      26.401474","      37.243680","      35.863827","      30.667723","      32.389274","      31.528075","    1632.933373"
