"County","Sector","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","Total Usage"
"KERN","Total","   14965.776318","   17268.304414","   15995.964502","   18569.056077","   16618.260665","   15243.066754","   14346.522484","   15075.421206","   16715.969367","   15957.027691","   14993.145751","   14464.196498","   15446.903270","   17241.263989","   16449.106966","   14946.314918","   16527.093962","   14922.649837","   14281.145540","   12701.962047","   11434.672555","   11361.408322","    9418.476935","   11386.146230","   10638.055512","    9285.239119","   10876.675518","    9895.688581","   10621.615771","   10452.648749","   13460.952418","  431560.731966"
"KINGS","Total","    1877.259683","    1621.729585","    1774.082176","    1513.055965","    1789.376052","    1774.709398","    1817.160839","    1784.728020","    1680.806884","    1423.021346","    1452.572608","    1585.203513","    1495.569106","    1423.443351","    1387.351042","    1314.924217","    1335.209000","    1077.455918","     980.535647","     924.456742","     934.603122","     967.748574","     939.741860","     996.958456","     952.152085","     905.684092","    1010.399181","     889.862575","    1021.893769","    1016.785601","     963.410751","   40631.891158"
"LAKE","Total","     460.453066","     444.252229","     442.552957","     464.857461","     441.590300","     431.432859","     441.827240","     470.273829","     466.594972","     459.464862","     454.483921","     453.116201","     455.639799","     444.830202","     653.158515","     624.194643","     543.909332","     535.758947","     462.497317","     446.787965","     423.559750","     417.101608","     395.089005","     370.630548","     397.753063","     462.820692","     465.929322","     458.779355","     466.223519","     473.187296","     451.803569","   14380.554344"
"LASSEN","Total","     370.459731","     366.376755","     375.281243","     385.969142","     422.392783","     363.573988","     395.663117","     397.588724","     380.527910","     377.601882","     359.469622","     392.325288","     264.584765","     253.153842","     290.550200","     289.943240","     291.569300","     261.517791","     256.551216","     256.427317","     238.815043","     235.487998","     225.871446","     226.676276","     224.510254","     196.906744","     210.172361","     149.056168","     149.940696","     193.685996","     183.957040","    8986.607878"
"LOS ANGELES","Total","   65649.878013","   66805.018921","   67886.672693","   68632.074237","   69390.259589","   69502.856611","   69923.806195","   68342.176746","   69248.330736","   68179.638464","   68244.100080","   69937.222157","   72069.528876","   71244.736591","   70924.116872","   69980.511327","   69203.594072","   68509.291659","   67709.536868","   69741.044964","   69443.691532","   66713.286181","   65706.387719","   65864.262539","   64180.750483","   62466.055489","   62781.683672","   62200.732776","   63273.867573","   62714.840951","   64747.794976"," 2091217.749562"
"MADERA","Total","    1751.081119","    1590.021338","    1661.371823","    1598.280357","    1594.392399","    1702.095800","    1665.587980","    1578.431629","    1530.991323","    1387.706425","    1379.104117","    1435.633770","    1420.219719","    1371.647295","    1189.903466","    1150.501870","    1189.923088","    1094.259683","    1129.096665","    1106.336110","    1110.500699","    1121.653102","    1017.214588","    1070.991890","    1036.888114","     974.240043","    1024.505025","     959.095491","     974.421567","     917.315425","     893.909102","   39627.321022"
"MARIN","Total","    1330.030056","    1355.457029","    1330.175571","    1386.133886","    1344.605821","    1356.588222","    1357.089708","    1397.677739","    1392.575315","    1409.468448","    1425.946619","    1461.323035","    1465.330072","    1446.586165","    1427.604481","    1403.876574","    1428.706596","    1384.828559","    1423.635928","    1371.920888","    1490.422837","    1444.559826","    1393.779693","    1388.555466","    1344.727434","    1319.742016","    1303.195933","    1314.249848","    1282.774063","    1250.717511","    1261.042838","   42693.328177"
"MARIPOSA","Total","     111.447345","     109.385161","     112.909811","     111.595108","     107.838322","     106.764204","     109.818113","     113.252801","     113.003752","     110.960527","     112.213847","     120.043513","     131.065076","     127.483589","     108.313161","     103.437966","     106.107609","     104.979927","     104.653593","     104.655901","     107.152697","     124.093725","     123.615414","     119.065193","     118.159721","     114.286160","     113.833048","     105.532888","     107.894014","     111.047330","     102.622092","    3477.231608"
"MENDOCINO","Total","     581.673053","     562.057987","     566.354997","     587.131540","     579.584533","     567.180032","     564.286927","     593.405113","     601.928374","     603.500075","     600.429536","     601.976133","     617.276708","     613.797474","     710.860477","     701.674193","     572.101393","     544.819513","     559.917032","     565.233700","     637.469258","     627.462134","     577.669838","     610.440603","     596.321226","     560.420063","     570.663732","     577.547572","     565.766058","     560.856163","     585.547341","   18365.352778"
"MERCED","Total","    3261.536882","    3722.066418","    3559.690965","    3973.039923","    3466.810151","    2923.688778","    3021.955614","    3058.186328","    3305.346975","    3658.176206","    3395.645612","    2742.555095","    2724.865104","    3668.021227","    2808.648393","    2896.244101","    3082.808485","    2857.333593","    2951.064466","    2805.199793","    2882.630506","    3256.067040","    2411.321078","    2749.685901","    2761.883357","    2558.348443","    2156.450267","    2802.691459","    2143.611901","    2040.361245","    2337.072494","   91983.007800"
