"County","Sector","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","Total Usage"
"KERN","Residential","    2637.974063","    2351.702864","    2354.162544","    2345.276950","    2261.728350","    2265.205969","    2306.208472","    2275.558089","    2276.973284","    2142.501652","    2096.216660","    2171.892711","    2147.237851","    2091.724319","    2052.760215","    1973.028680","    1865.555231","    1831.982115","    1677.586126","    1635.050760","    1714.094630","    1610.440598","    1558.224025","    1551.094451","    1546.441563","    1450.188794","    1452.922764","    1422.316371","    1459.067510","    1431.212946","    1377.497276","   59333.827833"
"KINGS","Residential","     432.346131","     388.387877","     375.148760","     379.810579","     365.065164","     368.123705","     377.143813","     371.625369","     369.239320","     354.653858","     348.778435","     364.964140","     358.929498","     346.799155","     355.549686","     330.186871","     326.267423","     313.893966","     291.759513","     283.642465","     291.393185","     273.951361","     265.431352","     265.212348","     261.264399","     243.132359","     241.366747","     232.703312","     233.932851","     231.619948","     224.178059","    9866.501649"
"LAKE","Residential","     309.664202","     281.412151","     279.869107","     295.510750","     282.460556","     276.370130","     285.538274","     302.498849","     302.306432","     298.372684","     294.503250","     289.348956","     284.753328","     275.120382","     269.125666","     259.124161","     256.943518","     243.772367","     244.742380","     237.518730","     243.300837","     243.111927","     238.969509","     221.693369","     226.495337","     215.371804","     220.759978","     222.324330","     215.200739","     222.194828","     215.462829","    8053.841360"
"LASSEN","Residential","     105.184944","     102.340074","     100.874066","     102.436529","      99.895083","      95.079431","      94.376607","     104.530698","     102.344421","     103.705739","     104.855887","     106.518902","     107.041240","     104.115224","     106.148325","     105.257943","     102.440584","      99.290481","      97.276737","      94.630059","     103.681384","     102.022026","     101.049643","      97.219052","      95.941076","      94.504263","      95.123652","      75.845378","      71.091236","      93.796861","      87.300980","    3055.918525"
"LOS ANGELES","Residential","   22913.103098","   20699.468072","   20525.589072","   20671.691218","   20295.256269","   20436.650609","   20745.735094","   20614.327174","   21079.327681","   20065.711381","   19721.795032","   20590.548972","   21115.807834","   20536.225345","   20377.054114","   19711.037356","   19507.041788","   19056.047710","   17917.339269","   18212.583044","   18891.637263","   17665.120293","   17234.632799","   17578.661112","   16322.045682","   16823.629351","   16065.583395","   15759.083038","   16377.794989","   16310.884065","   16960.720058","  590782.132177"
"MADERA","Residential","     485.135286","     434.105836","     429.896199","     439.686368","     421.018051","     421.184704","     426.043139","     429.845277","     430.816383","     415.732464","     408.634724","     415.356313","     411.280697","     408.159335","     399.848291","     381.269188","     373.169896","     361.654413","     336.159535","     324.816928","     339.663850","     333.074208","     321.720353","     311.941573","     309.062289","     290.707813","     286.221168","     279.636988","     278.816591","     274.482487","     262.454632","   11441.594979"
"MARIN","Residential","     700.288697","     659.055021","     648.794084","     660.219271","     652.956874","     653.320493","     653.551052","     684.900884","     689.956304","     702.458762","     702.902822","     708.372416","     704.451436","     704.522013","     704.994455","     689.583268","     687.600782","     660.507757","     659.768658","     638.298171","     701.191859","     701.990466","     679.985205","     650.725465","     641.424276","     632.300683","     615.883459","     619.375851","     597.767275","     607.809672","     602.554328","   20617.511759"
"MARIPOSA","Residential","      75.414294","      70.285640","      69.137318","      71.160958","      69.034878","      67.579587","      68.616158","      71.731890","      72.313826","      71.868262","      72.543330","      72.840895","      73.046643","      72.437878","      69.955993","      67.390160","      67.746574","      64.979401","      62.770184","      61.516223","      64.727849","      65.121251","      63.805344","      60.825895","      60.508737","      58.417654","      56.751586","      55.775800","      54.215393","      55.541087","      53.734453","    2041.795141"
"MENDOCINO","Residential","     301.931564","     287.161064","     289.233840","     305.597853","     300.651868","     293.986489","     295.273594","     324.468682","     333.123665","     337.310633","     339.793102","     340.224275","     338.607974","     330.977652","     313.985773","     295.302796","     284.799590","     265.282060","     264.122950","     256.266858","     279.353547","     271.113427","     259.877600","     249.440907","     253.175540","     235.357224","     240.739424","     243.797244","     239.200107","     249.050097","     248.238280","    8867.445679"
"MERCED","Residential","     817.630101","     722.217960","     717.748867","     742.200816","     706.911163","     707.891222","     719.565532","     698.583718","     704.225763","     677.187099","     658.127325","     676.946532","     669.135374","     658.162774","     654.680604","     620.922152","     612.592948","     593.007899","     562.774540","     539.406050","     555.908097","     536.279291","     519.539331","     509.773267","     502.477454","     475.984955","     471.520428","     464.213059","     414.612266","     410.238408","     445.584211","   18766.049206"
"MODOC","Residential","      58.601449","      58.184161","      57.497851","      59.645780","      56.800893","      54.195965","      53.517659","      61.093796","      57.506586","      61.390742","      60.299122","      61.354571","      63.026113","      58.710808","      59.044041","      57.577305","      56.453333","      56.767659","      55.363948","      53.733110","      55.575865","      56.781566","      58.079964","      56.802300","      64.699111","      53.878076","      55.755366","      58.621914","      53.699222","      54.603130","      50.605452","    1779.866858"
"MONO","Residential","      92.268625","      99.032598","      84.850805","      90.479320","      84.841915","      78.948147","      87.699249","      98.886478","      93.728093","      95.711104","      94.308030","      90.997481","      92.545815","      97.763323","      83.812201","      94.848096","      92.486511","      88.217963","      86.703795","      86.207277","      91.895434","      84.916159","      88.989198","      81.892419","      81.123803","      81.678987","      85.462068","      85.942805","      81.819393","      84.602740","      85.017504","    2747.677336"
"MONTEREY","Residential","     728.953649","     686.978528","     680.274035","     682.293369","     685.658176","     681.562342","     684.890926","     722.720582","     728.651101","     732.823234","     734.071403","     731.122341","     731.221588","     741.622688","     728.571839","     715.492444","     724.958049","     707.439608","     693.574647","     684.046614","     721.000162","     724.201473","     680.139440","     654.768601","     634.604678","     623.044510","     622.894636","     622.102410","     606.054357","     630.038290","     607.814014","   21333.589734"
"NAPA","Residential","     396.383550","     369.552014","     361.626809","     371.742029","     362.424438","     363.241031","     365.212142","     375.219460","     374.621675","     374.953405","     376.585675","     381.687947","     379.155228","     377.680812","     386.681272","     370.321089","     363.291359","     354.831495","     340.497327","     325.803130","     349.180496","     345.187438","     334.236827","     324.287125","     316.360516","     305.372795","     296.203358","     305.106743","     297.002241","     291.156241","     290.617800","   10826.223467"
"NEVADA","Residential","     484.046360","     448.712424","     447.782612","     472.108643","     434.134567","     406.694377","     408.275711","     423.688295","     426.579218","     426.606495","     425.348695","     424.463472","     421.368055","     414.097412","     411.725730","     397.657215","     398.322759","     378.625197","     379.120733","     363.384644","     378.257866","     371.661337","     367.313721","     342.285940","     339.726176","     327.047146","     328.218954","     323.128959","     313.971178","     322.435572","     313.879857","   12120.669320"
"ORANGE","Residential","    7765.257819","    6971.093261","    6845.180955","    6815.346458","    6711.072435","    6901.752391","    7036.395681","    6838.012963","    7067.852461","    6693.426742","    6609.381659","    6915.654939","    7138.338516","    6867.828579","    6851.109051","    6717.065811","    6611.750063","    6374.646248","    5989.083905","    5575.800015","    6362.084584","    5878.868129","    5884.504900","    5876.874410","    5618.981446","    5441.322625","    5463.244024","    5194.533248","    5493.876861","    5137.491263","    5120.565728","  196768.397170"
"PLACER","Residential","    1608.041582","    1456.698896","    1415.835391","    1470.728541","    1404.910794","    1368.153648","    1373.763579","    1369.777108","    1384.600559","    1349.559369","    1332.884961","    1367.028439","    1360.965632","    1327.400999","    1334.680169","    1262.801076","    1215.385689","    1145.063420","    1054.987424","     979.277912","     976.120643","     928.232331","     878.626181","     844.243780","     823.587286","     757.250491","     746.608507","     728.522643","     711.086467","     702.322530","     680.960940","   35360.106987"
"PLUMAS","Residential","     100.147976","      94.402479","      92.936267","      98.325675","      96.549502","      90.928914","      98.146247","     101.204295","      97.599033","     101.343502","     102.009578","     103.279215","     103.613251","     103.562030","     103.448519","     102.504163","     101.278106","      96.153275","      96.899579","      92.753388","      92.930694","      94.676095","      93.749315","      90.033386","      88.417064","      86.200226","      88.051175","     116.951203","     107.747799","      89.257865","      88.269715","    3013.369531"
"RIVERSIDE","Residential","    8843.231701","    7681.424150","    7646.485987","    7636.566993","    7171.695160","    7073.687749","    6768.578793","    6602.623465","    6674.664962","    6579.046974","    6336.950982","    6606.650256","    6772.576074","    6682.858843","    6902.474356","    5392.070427","    5018.738410","    5469.039951","    4832.823639","    4682.527247","    4908.383437","    4631.335840","    4405.222929","    4324.404946","    4263.842855","    4060.422590","    4026.994776","    3525.509250","    3625.502620","    3387.375972","    3381.206731","  175914.918065"
