Textbox12,fips,county,ruc_code,rate_1970,rate_1980,rate_1990,rate_2000,rate_2010
2015-2019,6081,"San Mateo, CA        ",1,17.10%,25.50%,31.30%,39.00%,51.00%
2015-2019,6083,"Santa Barbara, CA        ",2,17.90%,24.60%,26.60%,29.40%,34.20%
2015-2019,6085,"Santa Clara, CA        ",1,19.50%,26.40%,32.60%,40.50%,52.40%
2015-2019,6087,"Santa Cruz, CA        ",2,13.20%,23.50%,29.70%,34.20%,40.80%
2015-2019,6089,"Shasta, CA        ",3,8.60%,12.40%,13.70%,16.60%,22.20%
2015-2019,6091,"Sierra, CA        ",8,9.40%,18.00%,15.90%,17.20%,17.90%
2015-2019,6093,"Siskiyou, CA        ",6,7.50%,14.10%,14.20%,17.70%,23.20%
2015-2019,6095,"Solano, CA        ",2,9.30%,13.70%,18.70%,21.40%,26.90%
2015-2019,6097,"Sonoma, CA        ",2,11.10%,19.30%,24.50%,28.50%,35.50%
2015-2019,6099,"Stanislaus, CA        ",2,8.20%,11.80%,13.00%,14.10%,17.10%
2015-2019,6101,"Sutter, CA        ",3,10.70%,14.40%,15.40%,15.30%,18.20%
2015-2019,6103,"Tehama, CA        ",4,7.30%,9.10%,10.20%,11.30%,15.70%
2015-2019,6105,"Trinity, CA        ",8,9.50%,13.60%,12.90%,15.50%,19.50%
2015-2019,6107,"Tulare, CA        ",2,7.20%,10.10%,11.80%,11.50%,14.60%
2015-2019,6109,"Tuolumne, CA        ",4,8.00%,13.70%,14.70%,16.10%,20.50%
2015-2019,6111,"Ventura, CA        ",2,12.30%,18.20%,23.00%,26.90%,33.80%
2015-2019,6113,"Yolo, CA        ",1,18.40%,27.00%,30.30%,34.10%,41.40%
2015-2019,6115,"Yuba, CA        ",3,8.10%,9.30%,9.50%,10.30%,17.10%
