Textbox12,fips,county,ruc_code,rate_1970,rate_1980,rate_1990,rate_2000,rate_2010
2015-2019,6000,California,,13.40%,19.60%,23.40%,26.60%,33.90%
2015-2019,6001,"Alameda, CA        ",1,14.60%,22.30%,28.80%,34.90%,47.40%
2015-2019,6003,"Alpine, CA        ",8,3.00%,32.40%,24.00%,28.20%,34.50%
2015-2019,6005,"Amador, CA        ",6,8.40%,12.60%,14.00%,16.60%,19.30%
2015-2019,6007,"Butte, CA        ",3,11.00%,16.90%,19.50%,21.80%,27.20%
2015-2019,6009,"Calaveras, CA        ",6,7.50%,13.80%,14.40%,17.10%,18.30%
2015-2019,6011,"Colusa, CA        ",6,10.00%,12.30%,11.10%,10.60%,15.00%
2015-2019,6013,"Contra Costa, CA        ",1,17.20%,25.50%,31.60%,35.00%,42.40%
2015-2019,6015,"Del Norte, CA        ",7,7.30%,10.10%,10.00%,11.00%,14.80%
2015-2019,6017,"El Dorado, CA        ",1,10.40%,17.40%,20.80%,26.50%,34.30%
2015-2019,6019,"Fresno, CA        ",2,10.20%,15.20%,16.90%,17.50%,21.20%
2015-2019,6021,"Glenn, CA        ",6,7.00%,9.30%,9.40%,10.70%,14.20%
2015-2019,6023,"Humboldt, CA        ",5,10.00%,18.00%,20.00%,23.00%,30.40%
2015-2019,6025,"Imperial, CA        ",3,7.30%,9.60%,9.70%,10.30%,15.20%
2015-2019,6027,"Inyo, CA        ",7,9.30%,12.20%,13.50%,17.10%,27.20%
2015-2019,6029,"Kern, CA        ",2,8.90%,11.80%,13.30%,13.50%,16.40%
2015-2019,6031,"Kings, CA        ",3,8.60%,10.20%,9.00%,10.40%,14.70%
2015-2019,6033,"Lake, CA        ",4,7.20%,10.20%,10.70%,12.10%,15.50%
2015-2019,6035,"Lassen, CA        ",7,7.50%,11.90%,11.70%,10.70%,12.90%
2015-2019,6037,"Los Angeles, CA        ",1,12.70%,18.50%,22.30%,24.90%,32.50%
2015-2019,6039,"Madera, CA        ",3,7.00%,10.70%,11.70%,12.00%,14.60%
2015-2019,6041,"Marin, CA        ",1,26.60%,38.30%,44.00%,51.30%,59.50%
2015-2019,6043,"Mariposa, CA        ",8,10.10%,15.40%,16.80%,20.20%,24.60%
2015-2019,6045,"Mendocino, CA        ",4,9.30%,17.60%,17.80%,20.20%,24.40%
2015-2019,6047,"Merced, CA        ",2,8.30%,10.50%,12.00%,11.00%,13.80%
2015-2019,6049,"Modoc, CA        ",6,7.00%,12.40%,11.20%,12.40%,15.20%
2015-2019,6051,"Mono, CA        ",7,10.50%,22.70%,21.90%,28.90%,28.80%
2015-2019,6053,"Monterey, CA        ",2,15.00%,19.60%,21.50%,22.50%,24.70%
2015-2019,6055,"Napa, CA        ",3,11.40%,17.80%,22.30%,26.40%,35.70%
2015-2019,6057,"Nevada, CA        ",4,9.70%,18.00%,22.10%,26.10%,37.20%
2015-2019,6059,"Orange, CA        ",1,15.80%,22.60%,27.80%,30.80%,40.60%
2015-2019,6061,"Placer, CA        ",1,10.00%,16.70%,22.70%,30.30%,39.70%
2015-2019,6063,"Plumas, CA        ",7,9.10%,14.50%,15.10%,17.50%,23.70%
2015-2019,6065,"Riverside, CA        ",1,10.60%,12.80%,14.60%,16.60%,22.30%
2015-2019,6067,"Sacramento, CA        ",1,13.10%,19.30%,23.00%,24.80%,30.90%
2015-2019,6069,"San Benito, CA        ",1,7.00%,10.60%,14.40%,17.10%,19.70%
2015-2019,6071,"San Bernardino, CA        ",1,9.20%,13.10%,14.90%,15.90%,21.00%
2015-2019,6073,"San Diego, CA        ",1,14.00%,20.90%,25.30%,29.50%,38.80%
2015-2019,6075,"San Francisco, CA        ",1,16.70%,28.20%,35.00%,45.00%,58.10%
2015-2019,6077,"San Joaquin, CA        ",2,8.00%,11.50%,13.20%,14.50%,18.80%
2015-2019,6079,"San Luis Obispo, CA        ",2,11.10%,19.00%,22.90%,26.70%,35.40%
